OID_,species,date,latitude,longitude
1,Pronghorn,10/22/2011 0:00:00,35.105304580000002,-119.681625400000001
2,Pronghorn,4/25/2008 0:00:00,35.248984000000000,-119.918518000000006
3,Pronghorn,12/22/2011 0:00:00,35.142086999999997,-119.743003999999999
4,Pronghorn,4/19/2009 0:00:00,35.079250000000002,-119.644374999999997
5,Pronghorn,3/21/2016 0:00:00,35.117241000000000,-119.770031000000003
6,Pronghorn,6/6/2016 0:00:00,35.127490000000002,-119.772605999999996
7,Pronghorn,3/17/2016 0:00:00,35.173684870000002,-119.844906899999998
8,Pronghorn,5/30/2016 0:00:00,35.189863899999999,-119.863297200000005
9,Pronghorn,4/6/2013 0:00:00,35.118182910000002,-119.713897700000004
10,Pronghorn,4/2/2017 0:00:00,35.253429830000002,-119.931564300000005
11,Pronghorn,3/27/2017 0:00:00,35.090098720000000,-119.700101399999994
12,Pronghorn,4/8/2017 0:00:00,35.182134269999999,-119.867598999999998
13,Pronghorn,1/10/2018 0:00:00,35.161138070000000,-119.825820899999997
14,Pronghorn,1/10/2018 0:00:00,35.183539920000001,-119.847707700000001
15,Pronghorn,6/29/2016 0:00:00,35.149877170000003,-119.807006799999996
16,Pronghorn,3/27/2016 0:00:00,35.200500519999999,-119.741075499999994
17,Pronghorn,1/18/2016 0:00:00,35.092102570000002,-119.669094099999995
18,Pronghorn,11/18/2018 0:00:00,35.163129630000000,-119.833815799999996
19,Pronghorn,11/24/2018 0:00:00,35.154464060000002,-119.822826599999999
20,Pronghorn,11/25/2018 0:00:00,35.167902789999999,-119.821427099999994
21,Pronghorn,12/30/2018 0:00:00,35.154050030000001,-119.788745000000006
22,Pronghorn,4/10/2008 0:00:00,35.067628579999997,-119.651073900000000
23,Pronghorn,3/23/2019 0:00:00,35.179103329999997,-119.844894999999994
24,Pronghorn,4/8/2019 0:00:00,35.075855240000003,-119.630958199999995
25,Pronghorn,4/8/2019 0:00:00,35.189863899999999,-119.863297200000005
26,Pronghorn,9/15/2010 0:00:00,35.204282999999997,-119.863083000000003
27,Pronghorn,1/19/2009 0:00:00,35.241149600000000,-119.849744999999999
28,Pronghorn,5/3/2019 0:00:00,35.201130999999997,-119.858756999999997
29,Pronghorn,4/19/2019 0:00:00,35.258502030000002,-119.929078799999999
30,Pronghorn,9/2/2016 0:00:00,35.189957509999999,-119.831726099999997
31,Pronghorn,11/12/2017 0:00:00,35.158436600000002,-119.821916900000005
32,Pronghorn,5/16/2019 0:00:00,35.256121690000001,-119.973416499999999
33,Pronghorn,5/6/2018 0:00:00,35.254601260000001,-119.925986800000004
34,American Pronghorn,12/19/2013 0:00:00,35.189863899999999,-119.863297200000005
35,Pronghorn,1/23/2020 0:00:00,35.081058300000002,-119.662887200000000
36,Pronghorn,2/10/2020 0:00:00,35.155516960000000,-119.780232699999999
37,Pronghorn,2/13/2020 0:00:00,35.179734310000001,-119.804229000000007
38,Pronghorn,3/1/2020 0:00:00,35.031455780000002,-119.633659800000004
39,Pronghorn,3/27/2010 0:00:00,35.189863899999999,-119.863297200000005
