species ,date,latitude,longitude
Tule Elk,02/07/2016,35.332376,-119.362076
Tule Elk,04/07/2016,37.67086435,-121.5432836
Tule Elk,02/07/2016,35.333077,-119.360717
Tule Elk,02/07/2016,35.331816,-119.363709
Tule Elk,04/07/2016,35.184331,-119.895172
Tule Elk,09/08/2016,37.178058,-120.808775
Tule Elk,18/08/2016,38.041794,-122.79984
Tule Elk,27/08/2016,38.03117783,-122.8841167
Tule Elk,02/09/2016,38.19087831,-122.9599428
Tule Elk,21/06/2015,38.18940973,-122.9545867
Tule Elk,08/09/2016,38.03423617,-122.8825217
Tule Elk,01/05/2016,39.4515374,-122.9613447
Tule Elk,20/04/2015,38.09283172,-122.9230499
Tule Elk,06/09/2016,38.20554382,-122.9619026
Tule Elk,30/09/2016,38.03459006,-122.8712624
Tule Elk,26/09/2015,38.07404168,-122.941475
Tule Elk,01/10/2016,38.134815,-121.8931567
Tule Elk,04/10/2016,38.18485,-122.956275
Tule Elk,03/11/2012,37.23524865,-118.3512497
Tule Elk,11/10/2016,38.22249464,-122.976696
Tule Elk,11/10/2016,38.21175539,-122.9683631
Tule Elk,06/11/2016,38.21661612,-122.9772019
Tule Elk,10/10/2008,38.22075115,-122.9761397
Tule Elk,11/11/2016,38.006308,-122.997651
Tule Elk,11/11/2016,38.02353333,-122.9890217
Tule Elk,10/10/2008,38.19967585,-122.9600573
Tule Elk,21/10/2016,38.20898346,-122.9686832
Tule Elk,19/11/2016,38.04000627,-122.9655058
Tule Elk,20/11/2016,38.043825,-122.96967
Tule Elk,20/11/2016,38.0406475,-122.9664945
Tule Elk,20/11/2016,38.0406475,-122.9664945
Tule Elk,27/11/2016,38.11841483,-122.9341793
Tule Elk,27/11/2016,38.04669669,-122.972213
Tule Elk,27/11/2016,38.19625991,-122.9604864
Tule Elk,27/11/2016,38.18526406,-122.9573107
Tule Elk,27/11/2016,38.0906853,-122.9109192
Tule Elk,03/12/2016,37.17557347,-120.8070071
Tule Elk,14/12/2016,37.174086,-120.8025868
Tule Elk,23/01/2010,38.0406475,-122.9664945
Tule Elk,26/12/2016,37.174086,-120.8025868
Tule Elk,31/12/2016,38.04376271,-122.9698902
Tule Elk,23/12/2016,38.045671,-122.963094
Tule Elk,31/12/2016,37.18247,-120.82058
Tule Elk,05/01/2017,38.23528725,-122.9877216
Tule Elk,05/01/2017,38.22497157,-122.9793638
Tule Elk,05/01/2017,38.22346286,-122.974965
Tule Elk,05/01/2017,38.20553426,-122.9666018
Tule Elk,05/01/2017,38.19891475,-122.9605079
Tule Elk,05/01/2017,38.18496047,-122.9581475
Tule Elk,05/01/2017,38.18829989,-122.9499507
Tule Elk,12/01/2017,38.15389704,-122.8328902
Tule Elk,13/01/2017,38.16551058,-122.9857606
Tule Elk,14/01/2017,38.0406475,-122.9664945
Tule Elk,05/09/2016,38.19856287,-122.9620314
Tule Elk,14/08/2015,38.04700935,-122.9685972
Tule Elk,25/11/2016,38.18333333,-122.9517833
Tule Elk,27/01/2017,38.04775311,-122.9691017
Tule Elk,04/02/2017,38.0274457,-122.9681322
Tule Elk,25/12/2013,37.06379739,-121.0632849
Tule Elk,18/02/2017,38.0387291,-122.8820372
Tule Elk,28/02/2017,39.3517804,-122.5118148
Tule Elk,26/02/2017,38.1898498,-122.9544386
Tule Elk,04/03/2017,38.17753592,-122.9412868
Tule Elk,17/03/2017,38.20653385,-122.9664409
Tule Elk,17/03/2017,38.18434373,-122.956624
Tule Elk,17/03/2017,38.17941847,-122.9457289
Tule Elk,17/03/2017,38.02157139,-122.9897547
Tule Elk,28/03/2017,37.18885,-120.815459
Tule Elk,29/03/2017,35.33159572,-119.3637085
Tule Elk,29/03/2015,38.22102737,-122.9757156
Tule Elk,28/03/2017,38.04690821,-122.9703087
Tule Elk,08/04/2017,38.19817153,-122.9621684
Tule Elk,08/04/2017,38.20603246,-122.9663415
Tule Elk,16/04/2017,38.184875,-122.9561528
Tule Elk,17/04/2017,37.370655,-121.484245
Tule Elk,15/04/2017,38.18625859,-122.9558659
Tule Elk,18/04/2017,38.16250034,-122.9387407
Tule Elk,19/04/2017,38.198955,-122.9621883
Tule Elk,17/04/2017,37.3914364,-121.4943695
Tule Elk,06/10/2015,38.03033193,-122.9793017
Tule Elk,11/05/2017,39.0074244,-122.5618596
Tule Elk,22/05/2017,38.07483415,-122.9083429
Tule Elk,20/05/2017,38.03070964,-122.8884315
Tule Elk,23/05/2017,38.18096667,-122.9477217
Tule Elk,28/05/2017,38.18489413,-122.9574713
Tule Elk,25/05/2017,34.94998833,-119.1492083
Tule Elk,21/05/2017,39.71540667,-123.4985517
Tule Elk,30/06/2017,34.94303833,-119.4085383
Tule Elk,02/07/2017,38.16196099,-122.9414749
Tule Elk,01/03/2009,39.00232499,-122.5073161
Tule Elk,03/07/2017,38.2143777,-122.974766
Tule Elk,06/07/2017,38.19286333,-122.9621367
Tule Elk,25/05/2014,38.17296272,-122.9451864
Tule Elk,16/07/2017,38.13361141,-121.9640007
Tule Elk,23/03/2016,38.16475556,-122.9372111
Tule Elk,23/03/2016,37.99695833,-123.0181972
Tule Elk,23/03/2016,38.18399444,-122.9559861
Tule Elk,28/07/2017,38.22255654,-122.9765106
Tule Elk,17/07/2017,38.04143304,-122.8792369
Tule Elk,20/08/2017,38.0391941,-122.8954126
Tule Elk,19/08/2017,38.04052614,-122.8843284
Tule Elk,19/08/2017,38.03557492,-122.8839464
Tule Elk,18/08/2017,38.18868049,-122.954607
Tule Elk,03/09/2017,38.22166667,-122.9767556
Tule Elk,15/08/2017,38.18702055,-122.9414983
Tule Elk,08/09/2017,34.93524167,-119.4006283
Tule Elk,11/02/2017,37.06688617,-121.1937867
Tule Elk,24/09/2015,38.18933636,-122.9614735
Tule Elk,16/08/2017,38.042,-122.866
Tule Elk,02/03/2015,35.98675738,-121.1771393
Tule Elk,16/09/2017,38.19167167,-122.9605933
Tule Elk,01/06/2013,38.045066,-122.972867
Tule Elk,22/12/2008,37.564582,-121.853056
Tule Elk,30/09/2017,38.05818284,-122.9745774
Tule Elk,11/04/2014,34.98098344,-119.1849518
Tule Elk,30/09/2017,38.04696167,-122.973175
Tule Elk,01/10/2017,37.17003218,-121.0493011
Tule Elk,07/10/2017,38.18239678,-122.9539418
Tule Elk,07/10/2017,38.13154144,-122.9111284
Tule Elk,08/10/2017,38.0406475,-122.9664945
Tule Elk,08/10/2017,38.18193374,-122.9497328
Tule Elk,11/10/2017,38.19879895,-122.9572678
Tule Elk,14/10/2017,38.04795081,-122.9738441
Tule Elk,13/08/2016,38.22194444,-122.9769444
Tule Elk,19/10/2017,37.2326699,-120.8383932
Tule Elk,03/10/2015,35.7216394,-121.3070011
Tule Elk,25/10/2017,38.21165046,-122.9726092
Tule Elk,25/10/2017,38.19844839,-122.9617324
Tule Elk,09/01/2000,35.96116086,-121.2804258
Tule Elk,19/03/2017,38.072285,-122.881737
Tule Elk,05/11/2017,38.09118349,-122.9528046
Tule Elk,06/11/2017,38.0486946,-122.9750454
Tule Elk,06/11/2017,38.18781558,-122.9520428
Tule Elk,11/11/2017,38.18400117,-122.9556949
Tule Elk,11/11/2017,38.0483464,-122.9740614
Tule Elk,14/11/2017,38.2225767,-122.9776606
Tule Elk,22/11/2017,35.3221462,-119.3640088
Tule Elk,24/11/2017,39.27283,-123.1032333
Tule Elk,24/11/2017,39.29636167,-123.1084778
Tule Elk,11/02/2017,38.18890813,-122.9559766
Tule Elk,28/11/2017,39.27197,-123.1051112
Tule Elk,11/02/2017,38.14410538,-122.9470127
Tule Elk,21/10/2017,37.180775,-120.8186722
Tule Elk,02/12/2017,35.15696848,-119.8608398
Tule Elk,17/11/2017,39.448875,-122.9660717
Tule Elk,03/12/2017,38.044779,-122.969263
Tule Elk,06/10/2016,38.18085344,-122.9455935
Tule Elk,08/08/2017,38.219155,-122.9768367
Tule Elk,23/07/2017,38.16377359,-122.9374114
Tule Elk,09/12/2017,37.17782559,-120.8127022
Tule Elk,29/11/2017,37.22933199,-121.393261
Tule Elk,24/04/2017,37.33013454,-121.4722252
Tule Elk,01/02/2016,38.9985188,-122.3545365
Tule Elk,14/01/2017,38.03963087,-122.9637909
Tule Elk,17/12/2017,38.18403333,-122.9561617
Tule Elk,21/12/2017,38.04799193,-122.9894714
Tule Elk,26/12/2017,37.17905655,-120.8019733
Tule Elk,30/12/2017,38.1682369,-122.9343939
Tule Elk,12/08/2017,36.71930333,-121.59337
Tule Elk,01/01/2018,38.20667977,-122.9671679
Tule Elk,01/01/2018,38.20665614,-122.9673007
Tule Elk,01/01/2018,38.218222,-122.9763473
Tule Elk,25/12/2017,38.22051518,-122.9755068
Tule Elk,07/10/2016,38.18661944,-122.953675
Tule Elk,02/10/2015,38.19066944,-122.960275
Tule Elk,03/09/2016,38.22248833,-122.97747
Tule Elk,10/01/2018,37.19010317,-120.8102532
Tule Elk,10/01/2018,38.04364629,-122.9735887
Tule Elk,10/01/2018,35.16607014,-119.8580933
Tule Elk,10/01/2018,35.16450182,-119.8600674
Tule Elk,10/01/2018,38.04853333,-122.9739133
Tule Elk,10/01/2018,38.04786111,-122.97365
Tule Elk,14/01/2018,37.17928667,-120.80008
Tule Elk,18/01/2018,38.0722847,-122.8817367
Tule Elk,26/12/2017,38.20863652,-122.9710884
Tule Elk,01/06/2017,39.30908438,-123.0551146
Tule Elk,02/11/2013,38.22269419,-122.9727285
Tule Elk,27/01/2018,37.18970458,-120.8115005
Tule Elk,29/10/2017,38.19815833,-122.9619667
Tule Elk,19/01/2018,38.03146176,-122.8782177
Tule Elk,04/06/2012,37.06160216,-121.2309176
Tule Elk,19/12/2012,36.31721231,-120.9238958
Tule Elk,18/03/2014,37.04549021,-121.2235737
Tule Elk,04/07/2016,36.23997952,-120.8889971
Tule Elk,14/07/2016,37.04981612,-121.2359719
Tule Elk,05/08/2016,36.20689636,-120.6951356
Tule Elk,30/01/2018,38.0404628,-122.9653868
Tule Elk,30/01/2018,38.18015234,-122.9478
Tule Elk,01/09/2016,37.02536992,-121.2323928
Tule Elk,07/10/2016,38.19060833,-122.956925
Tule Elk,25/02/2017,38.16961443,-122.9344566
Tule Elk,23/12/2017,38.14631331,-122.938747
Tule Elk,07/02/2018,39.00833997,-122.5596817
Tule Elk,15/12/2005,38.075,-122.86972
Tule Elk,11/02/2018,36.22487167,-120.8825183
Tule Elk,11/02/2018,36.24344167,-120.9032283
Tule Elk,11/02/2018,36.29762139,-120.9337181
Tule Elk,09/05/2017,35.33105505,-119.3640314
Tule Elk,28/03/2017,35.18310495,-119.8666375
Tule Elk,17/02/2018,38.216982,-122.974571
Tule Elk,06/02/2018,38.1878949,-122.9511493
Tule Elk,17/02/2018,35.71139043,-121.2996197
Tule Elk,24/02/2018,38.03281111,-122.8831611
Tule Elk,04/07/2015,38.21999258,-122.9747128
Tule Elk,03/03/2018,37.1775077,-120.8025854
Tule Elk,04/03/2018,37.21872449,-121.7168587
Tule Elk,04/03/2018,37.2340162,-121.7085224
Tule Elk,04/03/2018,37.21936,-121.706065
Tule Elk,04/03/2018,37.2250986,-121.7073786
Tule Elk,04/03/2018,37.21976986,-121.709809
Tule Elk,04/03/2018,37.22789456,-121.7135989
Tule Elk,05/03/2018,38.99771194,-122.3548494
Tule Elk,04/03/2018,37.22379722,-121.7083444
Tule Elk,04/03/2018,37.21928225,-121.7062533
Tule Elk,24/02/2018,35.29796982,-119.3552628
Tule Elk,04/03/2018,37.21721637,-121.7067575
Tule Elk,08/03/2018,37.210742,-121.711829
Tule Elk,09/03/2018,38.99790861,-122.3540469
Tule Elk,09/03/2018,38.99792583,-122.3540283
