OID_,species,date,latitude,longitude
69,Tule Elk,11/26/2022 0:00:00,35.189863899999999,-119.863297200000005
70,Tule Elk,1/15/2023 0:00:00,35.182260610000000,-119.848500900000005
71,Tule Elk,3/3/2023 0:00:00,35.139823260000000,-119.785690000000002
72,Tule Elk,2/17/2023 0:00:00,35.169298220000002,-119.795166899999998
73,Tule Elk,3/18/2023 0:00:00,35.192978570000001,-119.838814200000002
74,Tule Elk,5/12/2023 0:00:00,35.084216699999999,-119.655925800000006
75,Tule Elk,11/11/2017 0:00:00,35.090296260000002,-119.677860100000004
76,Tule Elk,6/25/2023 0:00:00,35.212371480000002,-119.883644399999994
77,Tule Elk,6/25/2023 0:00:00,35.185855199999999,-119.848926899999995
78,Tule Elk,7/6/2023 0:00:00,35.033477830000002,-119.599996700000005
79,Tule Elk,12/20/2023 0:00:00,35.114699999999999,-119.741200000000006
80,Tule Elk,10/19/2023 0:00:00,35.182849109999999,-119.827420000000004
81,Tule Elk,1/5/2024 0:00:00,35.143912819999997,-119.764451100000002
82,Tule Elk,11/4/2023 0:00:00,35.166155500000002,-119.827804999999998
83,Tule Elk,1/25/2024 0:00:00,35.111421260000000,-119.734745899999993
84,Tule Elk,2/15/2024 0:00:00,35.154074999999999,-119.773719400000004
85,Tule Elk,2/15/2024 0:00:00,35.154083329999999,-119.773736099999994
86,Tule Elk,4/12/2024 0:00:00,35.249457069999998,-119.901432400000004
87,Tule Elk,4/12/2024 0:00:00,35.144067919999998,-119.759171499999994
88,Tule Elk,4/29/2024 0:00:00,35.151418120000002,-119.802835900000005
89,Tule Elk,4/29/2024 0:00:00,35.177393930000001,-119.831432800000002
90,Tule Elk,5/6/2024 0:00:00,35.113161920000003,-119.794948399999996
91,Tule Elk,5/24/2024 0:00:00,35.161703119999999,-119.814674699999998
92,Tule Elk,5/29/2024 0:00:00,35.135053759999998,-119.693668000000002
93,Tule Elk,6/7/2024 0:00:00,35.174735890000001,-119.836679899999993
94,Tule Elk,6/8/2024 0:00:00,35.178788449999999,-119.839789900000000
95,Tule Elk,6/8/2024 0:00:00,35.172096560000000,-119.805093299999996
96,Tule Elk,6/12/2024 0:00:00,35.177353340000003,-119.840429999999998
97,Tule Elk,6/17/2024 0:00:00,35.176122900000003,-119.854324700000006
98,Tule Elk,7/4/2024 0:00:00,35.101119199999999,-119.767986800000003
99,Tule Elk,7/10/2024 0:00:00,35.224463329999999,-119.900863299999997
100,Tule Elk,7/29/2024 0:00:00,35.174304999999997,-119.889816699999997
101,Tule Elk,7/29/2024 0:00:00,35.174686670000000,-119.890000000000001
102,Tule Elk,8/5/2024 0:00:00,35.152175939999999,-119.801831699999994
103,Tule Elk,6/15/2024 0:00:00,35.172161070000001,-119.834297599999999
104,Tule Elk,9/4/2024 0:00:00,35.176670000000001,-119.872505000000004
105,Tule Elk,9/4/2024 0:00:00,35.170191670000001,-119.822119999999998
106,Tule Elk,9/30/2024 0:00:00,35.170910339999999,-119.819725199999993
107,Tule Elk,10/9/2024 0:00:00,35.183988309999997,-119.837456299999999
108,Tule Elk,5/14/2022 0:00:00,35.117891340000000,-119.705908199999996
109,Tule Elk,1/16/2025 0:00:00,35.154051780000003,-119.782291599999994
110,Tule Elk,11/11/2024 0:00:00,35.167834950000000,-119.851005200000003
111,Tule Elk,11/10/2024 0:00:00,35.179863380000000,-119.876496399999994
112,Tule Elk,1/18/2025 0:00:00,35.166606100000003,-119.808130399999996
113,Tule Elk,1/16/2025 0:00:00,35.145897810000001,-119.782926500000002
114,Tule Elk,2/1/2025 0:00:00,35.167933580000003,-119.831487800000005
115,Tule Elk,2/2/2025 0:00:00,35.145377830000001,-119.772122300000007
116,Tule Elk,2/17/2025 0:00:00,35.143669500000001,-119.767586699999995
117,Tule Elk,3/26/2025 0:00:00,35.176173329999997,-119.838425000000001
118,Tule Elk,3/29/2025 0:00:00,35.166786670000000,-119.773645000000002
119,Tule Elk,4/16/2025 0:00:00,35.190036679999999,-119.863533200000006
120,Tule Elk,4/24/2025 0:00:00,35.164449869999999,-119.810642900000005
121,Tule Elk,5/4/2025 0:00:00,35.147613829999997,-119.775099999999995
122,Tule Elk,5/12/2025 0:00:00,35.197807820000001,-119.924947799999998
123,Tule Elk,5/17/2025 0:00:00,35.197645190000003,-119.889396000000005
124,Tule Elk,5/29/2025 0:00:00,35.161464299999999,-119.894764800000004
125,Tule Elk,6/11/2025 0:00:00,35.161591670000000,-119.835433300000005
126,Tule Elk,7/21/2025 0:00:00,35.199234009999998,-119.865668999999997
127,Tule Elk,7/27/2025 0:00:00,35.181559170000000,-119.844272099999998
128,Tule Elk,7/25/2025 0:00:00,35.199354599999999,-119.866272199999997
129,Tule Elk,7/27/2025 0:00:00,35.182048500000001,-119.850915999999998
130,Tule Elk,7/27/2025 0:00:00,35.181908190000001,-119.847396900000007
131,Tule Elk,7/27/2025 0:00:00,35.182546360000003,-119.852873399999993
132,Tule Elk,8/24/2024 0:00:00,35.131388829999999,-119.747628300000002
133,Tule Elk,8/2/2025 0:00:00,35.194155790000003,-119.855259500000003
134,Tule Elk,8/2/2025 0:00:00,35.013981610000002,-119.694287599999996
135,Tule Elk,9/12/2025 0:00:00,35.147171309999997,-119.761413500000003
136,Tule Elk,9/12/2025 0:00:00,35.161106609999997,-119.799849300000005
137,Tule Elk,12/4/2025 0:00:00,35.120258329999999,-119.744963299999995
138,Tule Elk,12/29/2025 0:00:00,35.143368180000003,-119.790130199999993
139,Tule Elk,12/29/2025 0:00:00,35.159778830000000,-119.817673299999996
140,Tule Elk,1/28/2026 0:00:00,35.166578039999997,-119.794357300000001
